,rating_with_replacement_games,rating_without_replacement_games,abs_change
PHI,-1.3963107617170913,2.7324727639743536,4.1287835256914445
TEN,0.09234005662780875,-3.03530016980576,3.1276402264335688
BUF,0.28640987837110155,3.0994339394697747,2.813024061098673
MIN,1.9252813327641405,4.727084244312483,2.801802911548342
NYG,-0.5092202920978401,2.27830091515181,2.7875212072496502
CHI,4.673499661791118,2.332775244367866,2.340724417423252
KC,-6.893387549853537,-4.870965603353426,2.0224219465001108
ATL,-12.150522338713541,-14.148542331100789,1.9980199923872473
PIT,-0.468244419715238,-2.3836152499856604,1.9153708302704224
DAL,-1.0530375119486473,-2.876374238985714,1.8233367270370668
TB,-5.689307145458383,-7.50103657141732,1.8117294259589372
NYJ,-1.374081173325684,0.3838486913805301,1.757929864706214
LAC,-3.9224874964775065,-5.664090705137153,1.7416032086596465
IND,2.281280826205208,0.5972157958541164,1.6840650303510916
OAK,0.5969022046131172,2.207817775774826,1.610915571161709
DEN,4.471540289104066,6.0623026548747205,1.5907623657706544
ARI,-0.6871129819592015,-1.8875254688285312,1.2004124868693298
CLE,8.689740781828823,7.538219527115211,1.1515212547136118
DET,-8.23955832886413,-7.26055656937632,0.9790017594878098
LAR,-1.5359511089756204,-0.5650645360715308,0.9708865729040895
NO,6.472284045288898,5.6561108885838385,0.8161731567050596
CIN,-4.487428447764723,-5.278035252573693,0.79060680480897
MIA,1.127623196372766,0.572280816357136,0.5553423800156301
SF,9.208161179900218,8.773240023861867,0.43492115603835124
SEA,2.0560289628952146,2.480273370388214,0.4242444074929992
GB,-2.7805908628125673,-3.14848986520531,0.36789900239274287
WSH,6.586786602893805,6.460666208920835,0.12612039397297004
NE,2.7193614010274394,2.717553701453605,0.0018076995738343093
