season,franchise,wins,losses,ties,win_pct,point_diff,point_diff_per_game,conference,division,division_title,conference_best_record,playoff_wins,reached_super_bowl,won_super_bowl,playoff_avg_margin,acc_base,acc_division_title,acc_conference_best,acc_playoff_wins,acc_super_bowl_appearance,acc_super_bowl_win,acc_undefeated,acc_postseason_dominance,acc
1970,ARI,8,5,1,0.6071428571428571,97,6.928571428571429,NFC,East,False,False,0,False,False,,6.071428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.071428571428571
1970,ATL,4,8,2,0.35714285714285715,-55,-3.9285714285714284,NFC,West,False,False,0,False,False,,3.5714285714285716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5714285714285716
1970,BUF,3,10,1,0.25,-133,-9.5,AFC,East,False,False,0,False,False,,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5
1970,CHI,6,8,0,0.42857142857142855,-5,-0.35714285714285715,NFC,Central,False,False,0,False,False,,4.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.285714285714286
1970,CIN,8,6,0,0.5714285714285714,57,4.071428571428571,AFC,Central,True,False,0,False,False,-17.0,5.7142857142857135,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7142857142857135
1970,CLE,7,7,0,0.5,21,1.5,AFC,Central,False,False,0,False,False,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1970,DAL,10,4,0,0.7142857142857143,78,5.571428571428571,NFC,East,True,False,2,True,False,3.0,7.142857142857143,2.0,0.0,4.0,4.0,0.0,0.0,0.0,17.142857142857142
1970,DEN,5,8,1,0.39285714285714285,-11,-0.7857142857142857,AFC,West,False,False,0,False,False,,3.9285714285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9285714285714284
1970,DET,10,4,0,0.7142857142857143,145,10.357142857142858,NFC,Central,False,False,0,False,False,-5.0,7.142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.142857142857143
1970,GB,6,8,0,0.42857142857142855,-97,-6.928571428571429,NFC,Central,False,False,0,False,False,,4.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.285714285714286
1970,IND,11,2,1,0.8214285714285714,87,6.214285714285714,AFC,East,True,True,3,True,True,10.0,8.214285714285714,2.0,1.0,4.0,4.0,6.0,0.0,1.0,26.214285714285715
1970,KC,7,5,2,0.5714285714285714,28,2.0,AFC,West,False,False,0,False,False,,5.7142857142857135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7142857142857135
1970,LAC,5,6,3,0.4642857142857143,4,0.2857142857142857,AFC,West,False,False,0,False,False,,4.642857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.642857142857143
1970,LAR,9,4,1,0.6785714285714286,123,8.785714285714286,NFC,West,False,False,0,False,False,,6.7857142857142865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7857142857142865
1970,MIA,10,4,0,0.7142857142857143,69,4.928571428571429,AFC,East,False,False,0,False,False,-7.0,7.142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.142857142857143
