season,explosive_rate_per_play,explosive_rate_per_play_ng,explosive_rate_per_drive,plays_per_drive,seconds_per_drive,pass_rate,def_play_rate_per_snap,turnovers_per_game,yards_per_play
1999,0.0903448051737025,0.0767930843976471,0.443593425881602,5.284187011329185,145.77947981490345,0.5752494231581684,0.11328848591206,3.8137651821862346,5.06148646452829
2000,0.0908021565103741,0.0744322823068126,0.4613213811420982,5.39956839309429,150.667994687915,0.5629472308446333,0.1117137722594347,3.7560975609756095,5.061591243260905
2001,0.0940264419210602,0.0784572329269469,0.4792588949008034,5.355468109526152,150.26955238563698,0.5605880271496124,0.1113648792099591,3.725806451612903,5.07067262842989
2002,0.0923755474677688,0.0783110233791869,0.480661210078639,5.480661210078639,152.19322741133044,0.5709394855345136,0.1023070754426007,3.61328125,5.194497563382888
2003,0.0926846144169077,0.0786891432884639,0.477246963562753,5.386720647773279,151.58914979757083,0.5522707258774688,0.1026229714429488,3.5234375,5.137029815071078
2004,0.0961325617430351,0.0814596970559402,0.497789421974783,5.409038807925332,152.36024234485018,0.5542801125762894,0.1055560825981089,3.515625,5.310628340132182
2005,0.0871461071789686,0.0729587967644084,0.4524278215223097,5.438648293963254,152.8400590551181,0.5566860465116279,0.1035136501516683,3.4765625,5.124431243680485
2006,0.0927322265872513,0.0791407933088328,0.4845224300612481,5.473762622082437,153.76411190200298,0.5541756431377519,0.1009694588772018,3.4765625,5.237897604866303
2007,0.0881583509313833,0.0734705455920824,0.4636936339522546,5.51392572944297,154.3008952254642,0.5696725186749456,0.0998518611907838,3.5546875,5.261795946670029
2008,0.0906445837063563,0.0762885279447499,0.4809976247030879,5.568544282321004,158.01934170342722,0.560589589461568,0.0952487530374728,3.0859375,5.370028136590356
2009,0.0950226244343891,0.0797825540472599,0.499421965317919,5.499421965317919,153.57489677952103,0.5683446455505279,0.0987933634992458,3.3984375,5.405448717948718
2010,0.0958736723376257,0.0800200520099006,0.5007363770250368,5.471281296023564,152.79086892488954,0.5748033963091769,0.0977848795312842,3.33984375,5.395087257574334
2011,0.1008188809664663,0.0859669333997571,0.5281357038003588,5.511825150872615,151.94389169792856,0.576268020051686,0.0988261668275368,3.15625,5.524737677865305
2012,0.0969131813005878,0.0801403379189363,0.5186100131752306,5.611495388669302,154.0701581027668,0.5823408118671713,0.0980518880989751,3.1015625,5.485550734004247
2013,0.0952033779883957,0.0812296849843555,0.503777527728661,5.544606976370359,150.19337727053528,0.5900543758923418,0.0994258634830948,3.16796875,5.435675445791184
2014,0.0966705787880659,0.0791586879980233,0.5234113712374582,5.678595317725753,155.62976588628763,0.588578664525295,0.0978133300389153,2.94140625,5.51911791957502
2015,0.0971344419218261,0.0819169172240289,0.5251285453640736,5.648366229888871,154.6768950074639,0.5983923421488617,0.0979628152420691,2.8984375,5.555961219856416
2016,0.0945633046216541,0.0822759408477663,0.5182741116751269,5.735194585448393,157.83688663282572,0.5995801302831033,0.0934210120095088,2.71484375,5.554629372356519
2017,0.0938318573032306,0.0796120743420232,0.5053745381256298,5.642761168962043,156.18810883439704,0.5827616315329924,0.1011600349257827,2.7421875,5.349257827117375
2018,0.102948557089084,0.0870451693851944,0.5666436464088398,5.757769337016574,161.16384668508286,0.5951066499372647,0.097176913425345,2.7109375,5.672678795483061
2019,0.0995148650329643,0.0847431272546336,0.5526770293609672,5.803108808290156,160.11571675302244,0.5951299912924493,0.0953165816643861,2.7734375,5.554235601442966
2020,0.0991864927091327,0.0837759017651573,0.5742979025950942,6.046214006398863,165.13011020263065,0.5882118188795088,0.0855257099002302,2.59765625,5.660598618572525
2021,0.0962242596443949,0.0817832976947186,0.5542432934030707,6.000168719419605,167.01704066138012,0.5857523653299745,0.0876417001083804,2.5919117647058822,5.491402794457951
2022,0.0974829730530056,0.0853716316257032,0.5535564149991592,5.924667899781403,165.5997982175887,0.5742671009771987,0.0931299970387918,2.6162361623616235,5.475066627183891
2023,0.095650381364667,0.0822216332420414,0.5372146873966259,5.858087992060867,162.7806814422759,0.5811761934210914,0.0978590570427305,2.6875,5.329770003239391
2024,0.0984164923812369,0.0842246788168509,0.5615410842141152,5.957722468462325,167.94664166382543,0.572243800418285,0.0937556020316701,2.411764705882353,5.499312817448462
2025,0.0955040830575878,0.0813575787013144,0.5480836236933798,6.002961672473868,171.71811846689894,0.5689262621049755,0.0915879906499499,2.294117647058824,5.411341489329407
