season,franchise,bayes_rating,bayes_rating_z,bayes_rating_se,bayes_rating_display,avg_margin,dominance_z,points_for_per_game,points_against_per_game,offense_z,defense_z,schedule_difficulty,elite_opponents_played,record_vs_elite_win_pct,playoff_games,playoff_avg_margin,wins,losses,ties,win_pct,conference,division,division_title,conference_best_record,playoff_wins,reached_super_bowl,won_super_bowl,acc,csi,csi_se
1970,IND,2.953100452801332,0.635211651681586,2.8652786437342423,56.35211651681586,6.214285714285714,0.8854531868923111,22.928571428571427,16.714285714285715,0.9382337107067568,0.7052038059521393,-0.7478091301409115,,,3.0,10.0,11,2,1,0.8214285714285714,AFC,East,True,True,3,True,True,26.214285714285715,-3.7129897839446806,1.4727304639126562
2007,NYG,4.057422325343652,0.735494570464491,2.6907647256152383,57.35494570464491,1.375,0.1921658487576195,23.3125,21.9375,0.3303752222498894,-0.0747655388556782,0.2016887750474734,4.0,0.0,4.0,5.0,10,6,0,0.625,NFC,East,False,False,4,True,True,22.25,0.7598976753697985,1.2245356267981289
2011,NYG,3.051833948318474,0.7583230106187602,2.5003348184426666,57.5832301061876,-0.375,-0.0553155468027132,24.625,25.0,0.4526719698486786,-0.7495904703217832,0.2853770519370662,4.0,0.25,4.0,11.5,9,7,0,0.5625,NFC,East,True,False,4,True,True,24.625,-0.6858366202586631,1.1255412780920548
2012,BAL,4.282862441791638,0.8707398655139598,2.597438875417628,58.7073986551396,3.375,0.4926604358346422,24.875,21.5,0.4639787090507179,0.3472566723104512,-0.0061468051422992,2.0,0.5,4.0,9.0,10,6,0,0.625,AFC,North,False,False,4,True,True,22.25,-3.1294052208700003,1.1896743973696318
2001,NE,3.844732610269274,1.0613605369811792,2.399732546542156,60.61360536981179,6.1875,1.0261515905566396,23.1875,17.0,0.8345136224687835,0.7835623042529233,-0.3555022383273412,1.0,0.0,3.0,4.333333333333333,11,5,0,0.6875,AFC,East,True,False,3,True,True,22.875,-0.0211826847437092,1.0839177431366642
2015,DEN,4.957723224922592,1.1069333510580832,2.5761041259012067,61.06933351058083,3.6875,0.6147000680633354,22.1875,18.5,-0.1668187843939662,1.2458877850346814,0.2460647519191394,5.0,0.6,3.0,7.666666666666667,12,4,0,0.75,AFC,West,True,False,3,True,True,23.5,0.0719797102852821,1.1562448923991002
2021,LAR,4.930820632364105,1.1902840756117812,2.52568196082487,61.90284075611781,5.176470588235294,0.7941212258871696,27.058823529411764,21.88235294117647,0.9191786559314716,0.3800520275956277,0.0347445606761507,1.0,1.0,4.0,8.0,12,5,0,0.7058823529411765,NFC,West,True,False,4,True,True,25.058823529411764,-0.3032479344092879,1.0893662593024616
1980,OAK,4.432829650744312,1.2461783665577295,2.336089659919799,62.4617836655773,3.625,0.6030482990206633,22.75,19.125,0.6079149800640833,0.3708303300519528,0.0582405244828936,2.0,0.0,4.0,11.5,11,5,0,0.6875,AFC,West,False,False,4,True,True,23.875,0.8576106887543675,1.1382587018351011
2023,KC,4.502965447332722,1.2616197196978265,2.3594041536286934,62.61619719697826,4.529411764705882,0.781730924099062,21.823529411764707,17.294117647058822,0.0132535365908881,1.548532804762036,-0.0293131480369576,1.0,0.0,4.0,8.0,11,6,0,0.6470588235294118,AFC,West,True,False,4,True,True,24.47058823529412,0.7716078325044693,1.017019270265308
1981,SF,4.472747637730989,1.3341212763445884,2.4753912256318262,63.34121276344588,6.6875,1.1428756233917707,22.3125,15.625,0.4700144090663982,1.3003479398750837,-0.0833598472493519,2.0,1.0,3.0,6.666666666666667,13,3,0,0.8125,NFC,West,True,True,3,True,True,25.125,-0.941594037944272,1.171831041410814
1976,OAK,8.961342556170914,1.3408515674452623,2.89277532600285,63.40851567445262,8.071428571428571,0.8911797825229573,25.0,16.928571428571427,1.193286552034995,0.4238210289982299,0.0502761778549796,3.0,0.6666666666666666,3.0,12.666666666666666,13,1,0,0.9285714285714286,AFC,West,True,True,3,True,True,27.285714285714285,1.06084737774544,1.6655256268462342
2006,IND,5.087162034399579,1.3857667112251522,2.4510452479554714,63.85766711225152,4.1875,0.7356809570349834,26.6875,22.5,1.433905159927968,-0.6254395242183526,0.2181692707494729,3.0,0.6666666666666666,4.0,10.0,12,4,0,0.75,AFC,South,True,False,4,True,True,26.5,2.379316977950273,1.1043834809846438
2003,NE,4.745871528478662,1.3859616472952812,2.4484363930246555,63.85961647295281,6.875,1.1332680864429854,21.75,14.875,0.2089947651052699,1.8614081244527072,-0.0020904797146617,2.0,1.0,3.0,5.333333333333333,14,2,0,0.875,AFC,East,True,True,3,True,True,25.75,0.7477794508766115,1.06887096863984
2018,NE,5.061172360494091,1.4214618978015967,2.372255813795583,64.21461897801596,6.9375,1.1713408763039466,27.25,20.3125,0.8336946793363169,0.9441870633024028,-0.2060776246380134,2.0,1.0,3.0,9.666666666666666,11,5,0,0.6875,AFC,East,True,False,3,True,True,22.875,0.0521405279234197,1.0488312863528386
1987,WSH,4.210062674887927,1.4972723696780916,2.4427410237622094,64.97272369678092,6.266666666666667,1.0568614169193946,25.266666666666666,19.0,0.9955904269292172,0.8227661391893265,-0.4018733287349576,,,3.0,14.333333333333334,11,4,0,0.7333333333333333,NFC,East,True,False,3,True,True,24.33333333333333,0.2787443658699997,1.1448593576045638
